TE_Name;TA_Name;Tour
Ambarzumjan E.;Edison Ambarzumjan;ATP
Ambrogi L. E.;Luciano Emanuel Ambrogi;ATP
Anavatan M.;Melih Anavatan;ATP
Andreescu S. A.;Stefan Adrian Andreescu;ATP
Andreev A.;Adrian Andreev;ATP
Angelini L.;Lorenzo Angelini;ATP
Arsic N.;Niksa Arsic;ATP
Arutiunian E.;Erik Arutiunian;ATP
Baris O.;Ozan Baris;ATP
Barsukov N.;Nikolai Barsukov;ATP
Basel V.;Valentin Basel;ATP
Basic M.;Mirza Basic;ATP
Basing M.;Max Basing;ATP
Becroft I.;Isaac Becroft;ATP
Blaydes B.;Billy Blaydes;ATP
Boitan G. A.;Gabi Adrian Boitan;ATP
Bojarski A.;Alan Bojarski;ATP
Braynin A.;Aleksandr Braynin;ATP
Brouwer G.;Gijs Brouwer;ATP
Campana Lee G.;Gerard Campana Lee;ATP
Castagnola L.;Luca Castagnola;ATP
Catry R.;Robin Catry;ATP
Cazacu D. N.;Dragos Nicolae Cazacu;ATP
Chan D.;Duncan Chan;ATP
Chazal M.;Maxime Chazal;ATP
Cizek J.;Jiri Cizek;ATP
Colby R.;Ryan Colby;ATP
Cordoba C.;Carles Cordoba;ATP
Dahlin M.;Max Dahlin;ATP
De Jonge D.;Daniel De Jonge;ATP
de Marchi A.;Andrea De Marchi;ATP
De Schepper K.;Kenny De Schepper;ATP
Delage P.;Pierre Delage;ATP
Delaney Ja.;Jake Delaney;ATP
Dellavedova M.;Matthew Dellavedova;ATP
Demanet E.;Emilien Demanet;ATP
Demin Y.;Yaroslav Demin;ATP
Dinev D.;Dinko Dinev;ATP
Dougaz A.;Aziz Dougaz;ATP
Duran T.;Tuncay Duran;ATP
Dzhavakian Y.;Yurii Dzhavakian;ATP
Efstathiou M.;Melios Efstathiou;ATP
Erel Y.;Yanki Erel;ATP
Ferrari F.;Francesco Ferrari;ATP
Forbes M.;Matthew Forbes;ATP
Gannon C.;Conor Gannon;ATP
Gogineni V.;Vignesh Gogineni;ATP
Gorzny S.;Sebastian Gorzny;ATP
Gutierrez O. J.;Oscar Jose Gutierrez;ATP
Guttau N.;Niklas Guttau;ATP
Haita S. H.;Stefan Horia Haita;ATP
Hallquist Lithen J.;John Hallquist Lithen;ATP
Handel T.;Tim Handel;ATP
Harazaki A.;Asahi Harazaki;ATP
Heck H.;Hunter Heck;ATP
Hernandez C.;Carles Hernandez;ATP
Hohmann R.;Ronald Hohmann;ATP
Hsu Y. H.;Yu Hsiou Hsu;ATP
Hudd E.;Emile Hudd;ATP
Hurrion M.;Millen Hurrion;ATP
Inchauspe P.;Paul Inchauspe;ATP
Ivanov I.;Ivan Ivanov;ATP
Johnson S.;Spencer Johnson;ATP
Kellovský D.;Dominik Kellovsky;ATP
Kim A.;Aidan Kim;ATP
Kirchheimer S.;Strong Kirchheimer;ATP
Kirkin E.;Ergi Kirkin;ATP
Kisimov D.;Dimitar Kisimov;ATP
Kobelt A.;Alex Kobelt;ATP
Kokkinakis T.;Thanasi Kokkinakis;ATP
Kolář Z.;Zdenek Kolar;ATP
Krstic . V.;Veljko Krstic;ATP
Krutykh O.;Oleksii Krutykh;ATP
Kumar M.;Melvin Kumar;ATP
Kumstat J.;Jan Kumstat;ATP
Kuzuhara B.;Bruno Kuzuhara;ATP
Lagutin P.;Pavel Lagutin;ATP
Lalami Laaroussi Y.;Younes Lalami Laaroussi;ATP
Lazarov G.;George Lazarov;ATP
Leite W.;Wilson Leite;ATP
Loge J.;Jack Loge;ATP
Lopez Montagud C.;Carlos Lopez Montagud;ATP
Loureiro J. V. C.;Joao Victor Couto Loureiro;ATP
Mackenzie J.;Jamie Mackenzie;ATP
Majchrzak A.;Adam Majchrzak;ATP
Malla B.;Bastian Malla;ATP
Marino P.;Pietro Marino;ATP
Markov V.;Viktor Markov;ATP
Matsuda K.;Koki Matsuda;ATP
McCabe J.;James Mccabe;ATP
McDonald N.;Niels Mcdonald;ATP
McKennon M.;Maxwell Mckennon;ATP
Melnic V.;Vladislav Melnic;ATP
Milev Y.;Yanaki Milev;ATP
Miyoshi K.;Kenta Miyoshi;ATP
Molder M.;Markus Molder;ATP
Nesterov P.;Petr Nesterov;ATP
Noce G. M.;Gabriele Maria Noce;ATP
Nurlanuly Z.;Zangar Nurlanuly;ATP
Opitz J.;Jannik Opitz;ATP
Ostapenkov D.;Daniil Ostapenkov;ATP
Ouakaa A.;Aziz Ouakaa;ATP
Overbeck C. E.;Carl Emil Overbeck;ATP
Ozdemir S. M.;S Mert Ozdemir;ATP
Paldanius O.;Oskari Paldanius;ATP
Pankin S.;Semen Pankin;ATP
Papamalamis T.;Theo Papamalamis;ATP
Papoe R. M.;Radu Mihai Papoe;ATP
