Player;Tour;WordCount
Adan Freire Da Silva;ATP;4
Alan Fernando Rubio Fierros;ATP;4
Alejo Lorenzo Lingua Lavallen;ATP;4
Anas Bennour Dit Sahli;ATP;4
Arklon Huertas Del Pino;ATP;4
Bautista De La Pena;ATP;4
Benjamin Ignacio Torres Fernandez;ATP;4
Botic Van De Zandschulp;ATP;4
Conner Huertas Del Pino;ATP;4
Cosme Rolland De Ravel;ATP;4
Cristian Felipe Sanchez Rojas;ATP;4
Daniel Dutra Da Silva;ATP;4
Diego Augusto Barreto Sanchez;ATP;4
Diego Eduardo Munoz Navia;ATP;4
Emon Van Loben Sels;ATP;4
Enzo Kohlmann De Freitas;ATP;4
Fabrizio Karol Pio Osti;ATP;4
Federico Gaston Gonzalez Benitez;ATP;4
Felipe Jose Rivadeneira Gallegos;ATP;4
Gustavo Ribeiro De Almeida;ATP;4
Ha Minh Duc Vu;ATP;4
Hernando Jose Escurra Isnardi;ATP;4
Ignacio Antonio Becerra Otarola;ATP;4
Imran Daniel Abd Hazli;ATP;4
Jay Dylan Hara Friend;ATP;4
Jeffrey Von Der Schulenburg;ATP;4
Joao Victor Couto Loureiro;ATP;4
Joao Vitor Goncalves Ceolin;ATP;4
Johan Alexander Rodriguez Rodriguez;ATP;4
Juan Alejandro Hernandez Serrano;ATP;4
Juan Carlos Prado Angelo;ATP;4
Juan Cruz Martin Manzano;ATP;4
Juan Manuel La Serna;ATP;4
Juan Samuel Arauzo Martinez;ATP;4
Kaua Lorenzo Santos Gava;ATP;4
Lucas Andrade Da Silva;ATP;4
Marc Van Der Merwe;ATP;4
Marcelo Zormann Da Silva;ATP;4
Martin Van Der Meerschen;ATP;4
Marvin Bernardo Becker Spiering;ATP;4
Mateo Luis Alvarez Sarmiento;ATP;4
Matheus Pucinelli De Almeida;ATP;4
Mitsuki Wei Kang Leong;ATP;4
Murkel Alejandro Dellien Velasco;ATP;4
Nicolas Esteban Rico Arias;ATP;4
Nicolas Moreno De Alboran;ATP;4
Nicolas Rafael Goldberg Alviani;ATP;4
Oliver Andre Solis Encinas;ATP;4
Olukayode Alafia Damina Ayeni;ATP;4
Oswaldo Alejandro Reyes Tirado;ATP;4
Rafael Augusto Garcia Finetto;ATP;4
Rethin Pranav Senthil Kumar;ATP;4
Ryan Augusto Dos Santos;ATP;4
S D Prajwal Dev;ATP;4
Sai Karteek Reddy Ganta;ATP;4
Samuel Alejandro Linde Palacios;ATP;4
Samuel De Felipe Garcia;ATP;4
Santiago De La Fuente;ATP;4
Santiago Fa Rodriguez Taverna;ATP;4
Sergio Luis Hernandez Ramirez;ATP;4
Stefan Ilie Bogdan Petre;ATP;4
Stephane Pierre Jo Kamendje;ATP;4
Tobia Costanzo Baragiola Mordini;ATP;4
Victor Hugo Remondy Pagotto;ATP;4
Amr Elsayed Abdou Ahmed Mohamed;ATP;5
Eyad Reda Ezzat Mohamed Sherif;ATP;5
Inaki Montes De La Torre;ATP;5
Joao Lucas Reis Da Silva;ATP;5
Joao Vitor Scramin Do Lago;ATP;5
M Abid Ali Khan Akbar;ATP;5
Matias Ponce De Leon Gomila;ATP;5
Oscar Andres Martinez De Freitas;ATP;5
Paulo Andre Saraiva Dos Santos;ATP;5
Pedro Andre De Almeida Santos;ATP;5
Rodolfo Jauregui Sainz De Rozas;ATP;5
Alba Maria Coromina Boluda;WTA;4
Amanda Carolina Nava Elkin;WTA;4
Ana Victoria Gobbi Monllau;WTA;4
Ane Mintegi Del Olmo;WTA;4
Anne Christine Lutkemeyer Obregon;WTA;4
Ariadna Garcia Patron Canals;WTA;4
Astrid Lew Yan Foon;WTA;4
Astrid Wanja Brune Olsen;WTA;4
Bruna Liotto De Carvalho;WTA;4
Carol Young Suh Lee;WTA;4
Claudia Sofia Martinez Solis;WTA;4
Gabriella Da Silva Fick;WTA;4
Ginevra Parentini Vallega Montebruno;WTA;4
Giovana Schincariol Delatorre Barbosa;WTA;4
Hong Yi Cody Wong;WTA;4
Jimar Geraldine Gerald Gonzalez;WTA;4
Jizel Matos Sequeira Fernandes;WTA;4
Joelle Lilly Sophie Steur;WTA;4
Julia Konishi Camargo Silva;WTA;4
Justina Maria Gonzalez Daniele;WTA;4
Lamis Alhussein Abdel Aziz;WTA;4
Leyla Fiorella Britez Risso;WTA;4
Maria Aran Teixido Garcia;WTA;4
Maria Camila Torres Murcia;WTA;4
Maria Fernanda Herazo Gonzalez;WTA;4
Maria Fernanda Navarro Oliva;WTA;4
Maria Jose Portillo Ramirez;WTA;4
Maria Jose Sanchez Uribe;WTA;4
Maria Paulina Perez Garcia;WTA;4
Marian Gomez Pezuela Cano;WTA;4
Mariana Isabel Higuita Barraza;WTA;4
Mell Elizabeth Reasco Gonzalez;WTA;4
Shihomi Li Xuan Leong;WTA;4
Sofia Da Cruz Mendonca;WTA;4
Sofia Elena Cabezas Dominguez;WTA;4
Sol Ailin Larraya Guidi;WTA;4
Tiantsoa Sarah Rakotomanga Rajaonah;WTA;4
Warda Ait El Bachir;WTA;4
Yleymi Lugiana Muelle Valdez;WTA;4
Catarina Melleiro Ibiraba Melleiro Junior;WTA;5
Guiomar Maristany Zuleta De Reales;WTA;5
Isis Louise Van Den Broek;WTA;5
Luisa Meyer Auf Der Heide;WTA;5
Maria Eduarda Carbone Dos Santos;WTA;5
Nauhany Vitoria Leme Da Silva;WTA;5
