TE_Name;TA_Name;Tour
Aboian V.;Valerio Aboian;ATP
Acosta F.;Facundo Diaz Acosta;ATP
Added D.;Dan Added;ATP
Adrian Boitan G.;Gabi Adrian Boitan;ATP
Agamenone F.;Franco Agamenone;ATP
Aguilar Cardozo J.;Joaquin  Aguilar Cardozo;ATP
Aguilar D.;Daniel Merida Aguilar;ATP
Agustin Gomez F.;Federico Agustin Gomez;ATP
Agustin Tirante T.;Thiago Agustin Tirante;ATP
Agut R.;Roberto Bautista Agut;ATP
Ajdukovic D.;Duje Ajdukovic;ATP
Alafia Damina Ayeni O.;Olukayode Alafia Damina Ayeni;ATP
Alberto Caniato C.;Carlo Alberto Caniato;ATP
Alberto Olivieri G.;Genaro Alberto Olivieri;ATP
Albot R.;Radu Albot;ATP
Alcala Gurri M.;Max Alcala Gurri;ATP
Alcaraz C.;Carlos Alcaraz;ATP
Alejandro Dellien Velasco M.;Murkel Alejandro Dellien Velasco;ATP
Alejandro Hernandez Serrano J.;Juan Alejandro Hernandez Serrano;ATP
Alexander Rodriguez Rodriguez J.;Johan Alexander Rodriguez Rodriguez;ATP
Aliassime F.;Felix Auger Aliassime;ATP
Alkaya M.;Mert Alkaya;ATP
Almeida M.;Matheus Pucinelli De Almeida;ATP
Altmaier D.;Daniel Altmaier;ATP
Alvarez Varona N.;Nicolas Alvarez Varona;ATP
Alves F.;Felipe Meligeni Alves;ATP
Alves M.;Mateus Alves;ATP
Ambrogi L.;Luciano Emanuel Ambrogi;ATP
Andrade A.;Andres Andrade;ATP
Andre Saraiva Dos Santos P.;Paulo Andre Saraiva Dos Santos;ATP
Andrea Huesler M.;Marc Andrea Huesler;ATP
Andres Burruchaga R.;Roman Andres Burruchaga;ATP
Angelo J.;Juan Carlos Prado Angelo;ATP
Arnaboldi F.;Federico Arnaboldi;ATP
Arnaldi M.;Matteo Arnaldi;ATP
Arnaud Bailly G.;Gilles Arnaud Bailly;ATP
Artnak B.;Bor Artnak;ATP
Assche L.;Luca Van Assche;ATP
Atmane T.;Terence Atmane;ATP
Auger Aliassime F.;Felix Auger Aliassime;ATP
Auger-Aliassime F.;Felix Auger Aliassime;ATP
Ayeni O.;Olukayode Alafia Damina Ayeni;ATP
Azkara A.;Arda Azkara;ATP
Baadi T.;Taha Baadi;ATP
Baena R.;Roberto Carballes Baena;ATP
Baez S.;Sebastian Baez;ATP
Bagnis F.;Facundo Bagnis;ATP
Bailly G.;Gilles Arnaud Bailly;ATP
Bailly G. A.;Gilles Arnaud Bailly;ATP
Balshaw F.;Felix Balshaw;ATP
Banerjee S.;Samir Banerjee;ATP
Bar Biryukov P.;Petr Bar Biryukov;ATP
Barranco Cosano J.;Javier Barranco Cosano;ATP
Barrena A.;Alex Barrena;ATP
Barrera A.;Adria Soriano Barrera;ATP
Barrios Vera T.;Tomas Barrios Vera;ATP
Barton H.;Hynek Barton;ATP
Basavareddy N.;Nishesh Basavareddy;ATP
Basilashvili N.;Nikoloz Basilashvili;ATP
Basile P.;Pierluigi Basile;ATP
Batalla O.;Oriol Roca Batalla;ATP
Bautista Agut R.;Roberto Bautista Agut;ATP
Bautista R.;Roberto Bautista Agut;ATP
Bautista Torres J.;Juan Bautista Torres;ATP
Bax F.;Florent Bax;ATP
Bellucci M.;Mattia Bellucci;ATP
Bennani K.;Karim Bennani;ATP
Bergs Z.;Zizou Bergs;ATP
Berkieta T.;Tomasz Berkieta;ATP
Bernet H.;Henry Bernet;ATP
Berrettini J.;Jacopo Berrettini;ATP
Berrettini M.;Matteo Berrettini;ATP
Bertola R.;Remy Bertola;ATP
