TE_Name;TA_Name;Tour
Sinner J.;Jannik Sinner;ATP
Alcaraz C.;Carlos Alcaraz;ATP
Zverev A.;Alexander Zverev;ATP
Djokovic N.;Novak Djokovic;ATP
Fils A.;Arthur Fils;ATP
Jodar R.;Rafael Jodar;ATP
Ruud C.;Casper Ruud;ATP
Medvedev D.;Daniil Medvedev;ATP
Musetti L.;Lorenzo Musetti;ATP
De Minaur A.;Alex De Minaur;ATP
Minaur A.;Alex De Minaur;ATP
Shelton B.;Ben Shelton;ATP
Aliassime F.;Felix Auger Aliassime;ATP
Auger Aliassime F.;Felix Auger Aliassime;ATP
Paul T.;Tommy Paul;ATP
Tien L.;Learner Tien;ATP
Mensik J.;Jakub Mensik;ATP
Cerundolo F.;Francisco Cerundolo;ATP
Fonseca J.;Joao Fonseca;ATP
Lehecka J.;Jiri Lehecka;ATP
Tiafoe F.;Frances Tiafoe;ATP
Collignon R.;Raphael Collignon;ATP
Fritz T.;Taylor Fritz;ATP
Blockx A.;Alexander Blockx;ATP
Vacherot V.;Valentin Vacherot;ATP
Rublev A.;Andrey Rublev;ATP
Cobolli F.;Flavio Cobolli;ATP
Bublik A.;Alexander Bublik;ATP
Machac T.;Tomas Machac;ATP
Davidovich Fokina A.;Alejandro Davidovich Fokina;ATP
Fokina A.;Alejandro Davidovich Fokina;ATP
Humbert U.;Ugo Humbert;ATP
Tsitsipas S.;Stefanos Tsitsipas;ATP
Prizmic D.;Dino Prizmic;ATP
Arnaldi M.;Matteo Arnaldi;ATP
Medjedovic H.;Hamad Medjedovic;ATP
Navone M.;Mariano Navone;ATP
Darderi L.;Luciano Darderi;ATP
Nakashima B.;Brandon Nakashima;ATP
Tabilo A.;Alejandro Tabilo;ATP
Berrettini M.;Matteo Berrettini;ATP
Norrie C.;Cameron Norrie;ATP
Khachanov K.;Karen Khachanov;ATP
Etcheverry T.;Tomas Martin Etcheverry;ATP
Martin Etcheverry T.;Tomas Martin Etcheverry;ATP
Buse I.;Ignacio Buse;ATP
Michelsen A.;Alex Michelsen;ATP
Korda S.;Sebastian Korda;ATP
Draper J.;Jack Draper;ATP
Monfils G.;Gael Monfils;ATP
Majchrzak K.;Kamil Majchrzak;ATP
Busta P.;Pablo Carreno Busta;ATP
Carreno Busta P.;Pablo Carreno Busta;ATP
Cilic M.;Marin Cilic;ATP
Hurkacz H.;Hubert Hurkacz;ATP
Spizzirri E.;Eliot Spizzirri;ATP
Cazaux A.;Arthur Cazaux;ATP
Griekspoor T.;Tallon Griekspoor;ATP
Hanfmann Y.;Yannick Hanfmann;ATP
Rinderknech A.;Arthur Rinderknech;ATP
