DateLabel;Tour;Tournament;Surface;Time;Player 1;Player 2;Reason;Detail
Today;ATP;Chengdu (China);hard;FINISHED;Kopriva V.;Hu J.;player_2_not_in_aliases;Hu J.
Today;ATP;Buenos Aires 3 (Argentina);clay;23:30;Comesana F.;Aguilar Cardozo J.;player_2_not_in_rankings;Joaquin  Aguilar Cardozo
Today;WTA;Ankara (Turkey);hard;15:00;Cengiz B.;Mert A.;player_2_not_in_aliases;Mert A.
Today;WTA;W35 Santa Margherita di Pula 8 (Italy);clay;FINISHED;Ferro G.;Nosei A.;player_1_not_in_aliases;Ferro G.
Today;WTA;W35 Sharm ElSheikh 2 (Egypt);hard;FINISHED;Pawlikowska Z.;Dvalishvili L.;player_2_not_in_aliases;Dvalishvili L.
Today;WTA;W35 Sharm ElSheikh 2 (Egypt);hard;FINISHED;Abouelsaad H.;Lim A.;tour_mismatch;"Abouelsaad H.=WTA; Lim A.=ATP"
Today;WTA;W50 Berkeley, CA (USA);hard;FINISHED;Maklakova E.;Chan J.;player_2_not_in_aliases;Chan J.
Today;WTA;W50 Berkeley, CA (USA);hard;20:30;Ma C.;Urhobo A.;player_1_not_in_aliases;Ma C.
Today;WTA;W50 Nanao (Japan);grass;FINISHED;Chikaraishi Y.;Itaya R.;player_2_not_in_aliases;Itaya R.
Today;WTA;W50 Yecla (Spain);hard;FINISHED;Ivanov V.;Lemaitre T.;player_2_not_in_aliases;Lemaitre T.
Today;WTA;W50 Yecla (Spain);hard;FINISHED;Rojas S. C.;Munk Mortensen R.;player_1_not_in_aliases;Rojas S. C.
Today;WTA;W50 Yecla (Spain);hard;SET 2;Adrover Gallego I.;Lazarenko K.;player_1_not_in_aliases;Adrover Gallego I.
Day+1;WTA;W50 Nanao (Japan);grass;03:00;Itaya R.;Hayasaka K.;player_1_not_in_aliases;Itaya R.
Day+1;WTA;W50 Nanao (Japan);grass;04:30;Hosogi S.;Matsuda R.;tour_mismatch;"Hosogi S.=WTA; Matsuda R.=ATP"
Day+1;WTA;W50 Nanao (Japan);grass;04:30;Shimizu E.;Onozawa N.;player_2_not_in_aliases;Onozawa N.
Day+1;WTA;W50 Yecla (Spain);hard;10:00;Lemaitre T.;Boskovic L.;player_1_not_in_aliases;Lemaitre T.
Day+1;WTA;W50 Yecla (Spain);hard;10:00;Rojas S. C.;Fita Boluda A.;player_1_not_in_aliases;Rojas S. C.
